name,address,latitude,longitude,rating,user_ratings_total,place_id
Giardino Botanico Gavinell,"Località Gaviana, 138 Contignaco, Salsomaggiore Terme",44.7993132,9.971869,4.5,526,ChIJRw-k-vqJgEcRtTrzSSEXEQw
Ristorante da Giovanni,"Str. di Cortina, 1040, Piacenza",44.8730789,9.9244433,4.8,793,ChIJD0RiZq70gEcRvlX314TPWe4
Ristorante da Faccini,"SP6, 10, Sant'Antonio",44.8784071,9.872456099999999,4.6,1150,ChIJhX1HhS7zgEcRsd68SZVE2S8
Locanda del culatello,"Piazza Garibaldi, 12, Soragna",44.9277407,10.1241374,4.8,1089,ChIJi9B-0WVbgEcRct5y36qJLmY
Ristorante Bar Lago Blu,"Strada Ceriato, 82, Pellegrino Parmense",44.7313375,9.8872859,4.4,207,ChIJlyPNgWyIgEcRZhc5VgpT_uc
Trattoria del Teatro,"Piazza Giuseppe Verdi, 5, Fontanellato",44.8813889,10.1716667,4.2,655,ChIJCwkysh9dgEcRYR-3mqbUT3U
Ristorante Il Lupo,"Centro, 54, Ciriano",44.9077724,9.8150081,4.3,819,ChIJ1RycZ3LtgEcRQBLxB-DkSSg
Trattoria Trivelloni,"Strada Borre, 43, Busseto",44.9309632,9.9991857,4.1,310,ChIJmS2TRLn1gEcRMbrZloV8qD0
Trattoria Trinità,"Via Trinità, 13, Trinità",44.7883229,9.8733643,4.6,633,ChIJv4ywv3eOgEcRymBIb-VDhog
Podere Miranta,"Via della Libertà, 54, Gaiano",44.7275547,10.1672114,4.6,488,ChIJ2W2T_MRugEcRDuepR9CmN7E
Podere San Faustino,"Via San Faustino, 33, Fidenza",44.8733683,10.03385,4.6,988,ChIJGWoSvc9fgEcRbV-D5_fEwoE
Pizzeria Mulino,"Località Podere Molino, Snc, Fiorenzuola d'Arda",44.9142692,9.8535728,4.2,1195,ChIJiQpLdIzzgEcRHyjELMONSOA
50 Special,"Frazione Ponte Ghiara, 32, Fidenza",44.8433146,10.0157279,4.5,1077,ChIJVVVVJT5ggEcR5oGyD9HD5fE
Timocenko,"Viale Guglielmo Marconi, 19, Salsomaggiore Terme",44.8132196,9.9880763,4.4,781,ChIJX4_iWthhgEcRG-XCwOO92k4
Ristorante Pizzeria Da Gianni,"Via Abate Zani, 62, Fidenza",44.8693477,10.0510879,4.2,453,ChIJrQjJuBhegEcR0widcZC0TC4
Ristorante Pizzeria Il Casale,"Via O. Davighi, 575/A, Fidenza",44.8717918,10.0416752,4.2,1360,ChIJMdMAn7dfgEcR9FCKYNAf-bI
Ristorante Pizzeria Valceno,"Via Provinciale, 136, Varano de' Melegari",44.6826278,9.9092744,4.5,911,ChIJOdKnFaeHgEcRGdqSe8hOr2w
Castello di Vigoleno,"Piazza IV Novembre, 2, Vigoleno",44.816545,9.901029200000002,4.5,1544,ChIJkT-vjIuLgEcR7O3jpiVTIh4
Albergo Park Hotel Fantoni,"Via Castello, 6, Bagni di Tabiano",44.801312,10.021422,4.5,206,ChIJR7BvisRhgEcRNlADkUPz_ko
Hotel Leon D'Oro Castell' Arquato,"Piazza Europa, 6, Castell'Arquato",44.8526523,9.869839099999998,4.5,158,ChIJB4BgceeMgEcRC0dL1pkhHvw
Albergo Villa Ombrosa,"Piazza Ponci, 3, Sant'Andrea Bagni",44.72574289999999,10.0881423,3.5,22,ChIJkUAFvOZkgEcRxHTTvI8_Qag
Country Hotel Ristorante Querce,"Via Parma, 85, Salsomaggiore Terme",44.8323554,10.0080928,4.4,592,ChIJa80VZjpggEcRph2ogbbXePI
Hotel Meridiana,"Viale Respighi, 12, Tabiano",44.80264,10.024259,4.5,148,ChIJzXLPVKNhgEcRc7Co7H8yKLE
Hotel Garden con Piscina - Bike Hotel - Ristorante tipico - Terme di Tabiano,"Viale Maria Luigia, 25, Bagni di Tabiano",44.8089981,10.0215683,4.2,386,ChIJ7zijuIJhgEcRMBNqSPpAsqw
Hotel Principe,"Via Romagnosi, 24, Salsomaggiore Terme",44.8143263,9.9809545,3.9,215,ChIJ8wkmT3aKgEcRllyEoXy78Mw
Hotel Ristorante Pizzeria Astoria,"Via Gandolfi, 7, Fidenza",44.86748,10.0612228,4.1,1134,ChIJ36Yqz5FfgEcRsyW8BcA20wM
Hotel Botton D'Oro,"via Agostino Gragnani 5, Borgo Castellazzo, Salsomaggiore Terme",44.8152872,9.9776425,3.6,26,ChIJK4nCcXCKgEcRCTmO-8bYQzc
Albergo Elvira,"Via delle Terme, 17, Bagni di Tabiano",44.80426659999999,10.0227525,4.5,90,ChIJxwEOt9ZhgEcRFU42slgptKA
Pizzeria D'Asporto Da Tony Di La Scala Antonio,"Via Cornini Malpeli, 78, Fidenza",44.8659751,10.0645538,4.4,153,ChIJzQ8AmjpegEcRrfaNNxgL5CE
Pierre Cafè Fidenza,"Via XXIV Maggio, 58, Fidenza",44.8596035,10.0843901,4.1,341,ChIJC21ldSJegEcRe0uUhDsJjzw
Ristorante Self Service Il Ghiotto,"Via Piani di Riva, 8, Varano de' Melegari",44.6874122,10.0368881,4,151,ChIJkd70qp98gEcRpXHY9fB2O6o
Ristorante al Golf,"Salsomaggiore Golf Club, Localita' Case Carancini, 105/a, Salsomaggiore Terme",44.7788786,9.9417066,4.5,38,ChIJe-HsMHeKgEcR9iayKRYHVhM
Ristorante Pizzeria L'incontro,"Viale Berenini, 6A, Salsomaggiore Terme",44.8146363,9.983215300000001,4.5,3202,ChIJX1P-XHeKgEcRBzoaFD1f_LY
Ristorante Primavera,"Case Sparse Mori, 22, Castell'Arquato",44.8444444,9.9061111,4.5,512,ChIJ651uxjXzgEcRnKqGKdD3awE
L'isola della Piada,"Viale Berenini, 6/o, Salsomaggiore Terme",44.8147168,9.983149,4.5,165,ChIJI3OMQXeKgEcR0-OLuUD0MUw
ASA TAIYOO RAMEN SUSHI CINESE,"Viale Lavoro, 1, Salsomaggiore Terme",44.81601259999999,9.9877223,3.9,344,ChIJH2aBC3iKgEcRn2PP0FXAQZo
Stuzzicheria Parmigiana,"Via Roma, 12, Salsomaggiore Terme",44.81585889999999,9.9811023,4.4,347,ChIJpx4bC3qKgEcRlAQfHwiMVkc
Ristorante I Due Leoni,"Largo Roma, 4, Salsomaggiore Terme",44.8156217,9.9808863,3.8,36,ChIJrcegCnqKgEcRn3xEmXNHYak
Pizzeria Luna Nuova,"Via Farini, 1, Salsomaggiore Terme",44.8163236,9.971095600000002,4,134,ChIJr3vTVW-KgEcRJDAay6O6PrA
Dragoon Pub,"Via Amerigo Vespucci, 2, Salsomaggiore Terme",44.81840649999999,9.968358400000001,4.5,409,ChIJ_-a6rWeKgEcR4WpiwpLn2rs
Terzo Tempo,"Via Giovanni Pascoli, 40, Salsomaggiore Terme",44.81546299999999,9.966213099999997,4.4,210,ChIJlbTyqGiKgEcRz2SoHfy6T18
Vecchio Parco,"Via Parma, 95, Salsomaggiore Terme",44.838902,10.011272,4.2,1294,ChIJi9-ErT1ggEcRwDM6UzbTLfY
The Fornio Woods,"Via Fornio, 49, Fidenza",44.8578389,9.9963741,4.7,55,ChIJMUp1F-lfgEcRINZbiGfGwZM
Agriturismo Il Cerreto,"Via Gabbiano, 96, Noceto",44.77602,10.05624,4.4,48,ChIJq-zsa9ZngEcRNqHcwdbfMSU
Ristorante Stella di Mare,"Frazione Pieve di Cusignano, 98, Fidenza",44.7934068,10.0752557,4.6,748,ChIJtfrGBFphgEcRq9WSSmfdaWc
Romanini,"Strada Statale 9 Via Emilia, 112, Parola",44.8539782,10.1063266,4.4,243,ChIJwZ5cAhJogEcR8HKulTK4Lo0
Azienda Vitivinicola La Caminà,"case sparse Caminata, 1, Vernasca",44.83913099999999,9.9092131,4.7,23,ChIJ_dEJk3yLgEcRObd0dSoOtvs
Pica Pica Fidenza,"Via Amendola, 1, Fidenza",44.86597689999999,10.0612052,4.2,167,ChIJfUqrPjBegEcRL-PDLKHba8g
Al Canton 33 Trattoria,"Via Mentana, 33, Fidenza",44.8673765,10.0588834,4.4,403,ChIJZ8IU1DNegEcRu7YI3c9l2NA
N'Ombra de Vin,"Piazza Giuseppe Garibaldi, 34, Fidenza",44.86682889999999,10.060897,4.3,511,ChIJzShArDFegEcRTccsXtnI0c8
Bingo Hall Fidenza,"Via Agostino Berenini, 77, Fidenza",44.8657603,10.0636669,3.5,139,ChIJgUAtdTBegEcRlep9zid1tvU
Amoretti,"Frazione Parola, 16, Parola",44.85418019999999,10.1061623,4.3,19,ChIJz7LI1_ldgEcRZpm3cybdqy4
Albergo Ristorante Da Paolo Di Miserotti Gian Paolo,"Strada Molinazzo, 47, Alseno",44.887989,9.9089314,4,79,ChIJDd3D7GfzgEcRPmhO38053Q4
La Casa del Pane,"Piazza Europa, 1, Castell'Arquato",44.852887,9.8700853,4.3,589,ChIJG0sxceeMgEcRHBUPoiHLLn4
