name,address,latitude,longitude,rating,user_ratings_total,place_id,distance_km,duration_text
Trattoria dai Sibani,"SP12, 4, Chiusa Ferranda",44.9062906,10.0976605,4.5,470,ChIJ7X5yDi5fgEcRzc8ODqR4DtY,17.117,20 mins
Antica Trattoria Carra,"Via IX Luglio, 13, Vianino",44.68311569999999,9.935106,4.7,459,ChIJWUj75IOHgEcRyJeI2j654MI,27.581,41 mins
Trattoria Casalbarbato,"Str. Casalbarbato, 16, Casalbarbato",44.8651899,10.1356389,4.4,534,ChIJc98OVJhdgEcRfopavhb8CHE,15.124,17 mins
Trattoria Squeri,"Via Varano, 78, Cella",44.767556,10.0884123,4.6,798,ChIJm2hZQD1kgEcRLz3weeUuUYc,16.777,25 mins
Hosteria Numero 1000,"Via Giuseppe Micheli, 27, Fidenza",44.8662749,10.0576213,4.3,467,ChIJrfl3IjJegEcRZFUK-jqAhf4,11.674,16 mins
Hosteria Caseificio Bertinelli,"Via Provinciale Pedemontana, 2, Noceto",44.7814043,10.158626,4.3,1555,ChIJQx5e1xxmgEcRd7IGx_1bOSg,21.19,23 mins
Osteria S. Margherita,"Str. Santa Margherita, 46, Fidenza",44.8344546,10.0904794,4.2,410,ChIJLwcwY0pngEcRqnjM8X8t-Rs,10.679,12 mins
"Trattoria ""La Cioppa""","Località Gambarato, 119, Salsomaggiore Terme",44.8363667,10.0509021,3.9,581,ChIJQ0JNNaNhgEcRkD-GGH_dHUI,6.366,7 mins
Trattoria La Boschina,"Strada della Lodesana, Fidenza",44.84143539999999,10.0568262,4.2,487,ChIJV1IUmUFhgEcRlpxyXW_9eMY,7.345,9 mins
Hotel Arda,"Via Luigi Scapuzzi, 35, Fiorenzuola d'Arda",44.92274099999999,9.922659000000001,4.1,643,ChIJOY7rFY3zgEcRYnveXW35myM,20.653,25 mins
Trattoria da Anna,"Str. Cornaccina, 32/36, Medesano",44.7670736,10.1410234,4.4,1002,ChIJydKPSjxlgEcRA-mNnCzoBwE,23.061,25 mins
Trattoria Madonna Del Monte,"Via Varani, 80, San Vittore",44.7625738,9.9798198,4.5,415,ChIJERU7xHFigEcR3JAlQnR4Uzs,9.665,14 mins
Trattoria del sole,"Via Tabiano, 76, Fidenza",44.8046163,10.0807392,4.5,658,ChIJF48Mrs1mgEcR4HGLDQ4QIOs,9.879,15 mins
Bar Gelateria Ugo,"Viale Giacomo Matteotti, 44, Fiorenzuola d'Arda",44.9275239,9.907589399999999,4.4,257,ChIJG3z3_cDzgEcRfOEQHQIrPvo,22.003,28 mins
Trattoria Da Luigi,"Località Franchini, 19, Vernasca",44.8280868,9.8817253,4.4,1204,ChIJSUSTnWOMgEcRbEsGoMgUlB8,17.917,25 mins
Trattoria Bellaria,"Via Bellaria, 14, Salsomaggiore Terme",44.8186277,9.9657793,4,640,ChIJLVXmiWeKgEcR778AS8JZkI0,4.239,8 mins
